@
Time (us),Roll (deg),Pitch (deg),Yaw (deg),AccX (m/s/s),AccY (m/s/s),AccZ (m/s/s),Press (Pa),Temp (C),HGX (g),HGY (g),HGZ (g)
2041827,179.01,-0.23,-92.41,0.09,0.19,0.01,102676.91,35.80,-0.25,0.70,0.89
2052071,179.01,-0.22,-92.40,0.13,0.17,0.00,102677.82,35.80,-0.17,0.57,0.65
2062305,179.01,-0.23,-92.39,0.11,0.18,0.04,102677.97,35.80,-0.19,0.62,1.15
2072522,179.01,-0.22,-92.42,0.12,0.17,0.01,102678.36,35.80,-0.19,0.44,0.70
2083864,179.01,-0.22,-92.42,0.11,0.18,0.03,102677.84,35.81,-0.31,0.63,0.73
2094089,179.02,-0.22,-92.45,0.11,0.17,0.03,102678.25,35.81,-0.22,0.56,0.81
2104320,179.03,-0.22,-92.46,0.11,0.15,0.02,102678.05,35.81,-0.32,0.58,0.63
2114539,179.02,-0.21,-92.48,0.13,0.18,-0.00,102678.17,35.81,-0.22,0.51,0.63
2124776,179.02,-0.21,-92.50,0.10,0.18,0.03,102677.72,35.81,-0.00,0.45,1.03
2135016,179.02,-0.22,-92.49,0.11,0.18,0.00,102677.41,35.81,0.04,0.48,0.71
2145242,179.02,-0.22,-92.48,0.11,0.19,0.03,102678.67,35.81,-0.07,0.37,1.24
2159779,179.02,-0.22,-92.47,0.11,0.18,-0.00,102678.89,35.81,0.02,0.43,0.76
2169954,179.01,-0.22,-92.45,0.12,0.19,-0.00,102677.27,35.81,-0.39,0.44,1.09
2180188,179.01,-0.23,-92.44,0.11,0.18,0.01,102678.34,35.81,-0.19,0.48,1.04
2191522,179.02,-0.22,-92.47,0.10,0.15,0.01,102676.33,35.81,-0.20,0.45,0.68
2201747,179.02,-0.22,-92.46,0.11,0.20,-0.02,102675.82,35.81,-0.12,0.40,0.92
2211992,179.01,-0.22,-92.47,0.12,0.19,0.05,102675.98,35.81,-0.61,0.55,0.89
2222215,179.01,-0.22,-92.49,0.11,0.19,0.04,102676.11,35.81,-0.08,0.54,0.72
2232435,179.00,-0.23,-92.51,0.10,0.20,0.03,102675.16,35.81,-0.13,0.38,0.77
2242665,179.00,-0.23,-92.52,0.11,0.19,0.03,102676.02,35.81,-0.14,0.51,0.62
2252892,179.00,-0.23,-92.52,0.10,0.19,0.02,102676.13,35.82,-0.42,0.41,0.91
2263125,179.00,-0.23,-92.52,0.11,0.19,0.00,102676.15,35.82,-0.36,0.51,0.81
2273355,179.00,-0.23,-92.52,0.12,0.18,0.02,102676.49,35.81,-0.23,0.49,0.63
2283578,179.01,-0.23,-92.53,0.12,0.17,0.02,102676.98,35.82,-0.05,0.53,0.63
2294911,179.01,-0.22,-92.50,0.14,0.18,0.03,102676.32,35.81,-0.20,0.46,0.83
2305154,179.01,-0.22,-92.49,0.12,0.18,0.01,102677.38,35.82,-0.20,0.48,0.52
2315397,179.01,-0.23,-92.50,0.10,0.16,0.01,102678.69,35.82,-0.00,0.45,0.65
2325627,179.02,-0.23,-92.48,0.13,0.17,0.05,102679.93,35.82,-0.04,0.40,1.11
2335873,179.02,-0.22,-92.49,0.12,0.15,-0.01,102678.56,35.82,-0.40,0.43,1.12
2346115,179.03,-0.22,-92.50,0.10,0.17,0.04,102678.00,35.82,-0.39,0.44,1.55
2356364,179.03,-0.22,-92.52,0.11,0.19,0.03,102676.09,35.81,-0.47,0.56,0.94
2366592,179.02,-0.22,-92.56,0.10,0.19,0.01,102676.19,35.82,-0.29,0.58,0.73
2376839,179.02,-0.23,-92.54,0.10,0.18,-0.01,102677.30,35.82,-0.14,0.43,0.93
2387069,179.03,-0.22,-92.54,0.12,0.16,-0.02,102677.10,35.82,-0.14,0.55,0.81
2398406,179.03,-0.22,-92.56,0.12,0.17,-0.01,102676.91,35.82,-0.15,0.70,0.67
2408640,179.03,-0.21,-92.60,0.12,0.17,0.01,102676.30,35.82,-0.46,0.57,0.88
2418879,179.03,-0.22,-92.55,0.12,0.17,0.02,102677.37,35.82,-0.33,0.54,0.88
2429104,179.03,-0.22,-92.51,0.12,0.17,-0.03,102677.41,35.82,-0.30,0.38,0.84
2439345,179.04,-0.22,-92.52,0.10,0.17,-0.01,102674.88,35.82,-0.37,0.51,0.68
2449580,179.04,-0.23,-92.49,0.11,0.16,-0.00,102672.98,35.82,-0.19,0.45,1.07
2459823,179.04,-0.23,-92.47,0.10,0.18,0.01,102675.37,35.82,0.00,0.56,0.88
2470058,179.04,-0.24,-92.48,0.09,0.19,0.00,102675.91,35.82,-0.31,0.54,0.80
2480275,179.03,-0.24,-92.48,0.10,0.19,0.03,102677.08,35.82,-0.49,0.50,0.59
2490510,179.03,-0.25,-92.42,0.11,0.18,-0.01,102675.37,35.82,-0.57,0.61,0.59
2501848,179.04,-0.25,-92.43,0.09,0.15,-0.02,102676.91,35.82,-0.54,0.51,0.82
2512090,179.05,-0.26,-92.40,0.10,0.14,0.01,102677.08,35.82,-0.19,0.57,0.71
